0
0,1
0,1,2
0,1,2,3
0,1,4
0,1,5
0,1,2,6
0,1,4,8,7
0,1,4,8
0,1,4,8,9
0,1,4,8,9,10
0,1,4,8,12,11
0,1,4,8,12
0,1,4,8,12,13
0,1,4,8,12,15,14
0,1,4,8,12,15
0,1,4,8,12,15,16
1,0
1
1,2
1,2,3
1,4
1,5
1,2,6
1,4,8,7
1,4,8
1,4,8,9
1,4,8,9,10
1,4,8,12,11
1,4,8,12
1,4,8,12,13
1,4,8,12,15,14
1,4,8,12,15
1,4,8,12,15,16
2,1,0
2,1
2
2,3
2,4
2,5
2,6
2,5,9,8,7
2,5,9,8
2,5,9
2,6,10
2,5,9,8,12,11
2,5,9,8,12
2,5,9,8,12,13
2,5,9,8,12,15,14
2,5,9,8,12,15
2,5,9,8,12,15,16
3,2,1,0
3,2,1
3,2
3
3,5,4
3,5
3,6
3,6,9,8,7
3,6,9,8
3,6,9
3,6,10
3,6,10,13,12,11
3,6,10,13,12
3,6,10,13
3,6,10,13,12,15,14
3,6,10,13,12,15
3,6,10,13,12,15,16
4,1,0
4,1
4,2
4,5,3
4
4,5
4,2,6
4,8,7
4,8
4,8,9
4,8,9,10
4,8,12,11
4,8,12
4,8,12,13
4,8,12,15,14
4,8,12,15
4,8,12,15,16
5,1,0
5,1
5,2
5,3
5,4
5
5,2,6
5,9,8,7
5,9,8
5,9
5,9,10
5,9,8,12,11
5,9,8,12
5,9,8,12,13
5,9,8,12,15,14
5,9,8,12,15
5,9,8,12,15,16
6,2,1,0
6,2,1
6,2
6,3
6,2,4
6,2,5
6
6,9,8,7
6,9,8
6,9
6,10
6,10,13,12,11
6,10,13,12
6,10,13
6,10,13,12,15,14
6,10,13,12,15
6,10,13,12,15,16
7,8,4,1,0
7,8,4,1
7,8,9,5,2
7,8,9,6,3
7,8,4
7,8,9,5
7,8,9,6
7
7,8
7,8,9
7,8,9,10
7,8,12,11
7,8,12
7,8,12,13
7,8,12,15,14
7,8,12,15
7,8,12,15,16
8,4,1,0
8,4,1
8,9,5,2
8,9,6,3
8,4
8,9,5
8,9,6
8,7
8
8,9
8,9,10
8,12,11
8,12
8,12,13
8,12,15,14
8,12,15
8,12,15,16
9,8,4,1,0
9,8,4,1
9,5,2
9,6,3
9,8,4
9,5
9,6
9,8,7
9,8
9
9,10
9,8,12,11
9,8,12
9,8,12,13
9,8,12,15,14
9,8,12,15
9,8,12,15,16
10,9,8,4,1,0
10,9,8,4,1
10,6,2
10,6,3
10,9,8,4
10,9,5
10,6
10,9,8,7
10,9,8
10,9
10
10,13,12,11
10,13,12
10,13
10,13,12,15,14
10,13,12,15
10,13,12,15,16
11,12,8,4,1,0
11,12,8,4,1
11,12,8,9,5,2
11,12,13,10,6,3
11,12,8,4
11,12,8,9,5
11,12,13,10,6
11,12,8,7
11,12,8
11,12,8,9
11,12,13,10
11
11,12
11,12,13
11,12,15,14
11,12,15
11,12,15,16
12,8,4,1,0
12,8,4,1
12,8,9,5,2
12,13,10,6,3
12,8,4
12,8,9,5
12,13,10,6
12,8,7
12,8
12,8,9
12,13,10
12,11
12
12,13
12,15,14
12,15
12,15,16
13,12,8,4,1,0
13,12,8,4,1
13,12,8,9,5,2
13,10,6,3
13,12,8,4
13,12,8,9,5
13,10,6
13,12,8,7
13,12,8
13,12,8,9
13,10
13,12,11
13,12
13
13,12,15,14
13,12,15
13,12,15,16
14,15,12,8,4,1,0
14,15,12,8,4,1
14,15,12,8,9,5,2
14,15,12,13,10,6,3
14,15,12,8,4
14,15,12,8,9,5
14,15,12,13,10,6
14,15,12,8,7
14,15,12,8
14,15,12,8,9
14,15,12,13,10
14,15,12,11
14,15,12
14,15,12,13
14
14,15
14,15,16
15,12,8,4,1,0
15,12,8,4,1
15,12,8,9,5,2
15,12,13,10,6,3
15,12,8,4
15,12,8,9,5
15,12,13,10,6
15,12,8,7
15,12,8
15,12,8,9
15,12,13,10
15,12,11
15,12
15,12,13
15,14
15
15,16
16,15,12,8,4,1,0
16,15,12,8,4,1
16,15,12,8,9,5,2
16,15,12,13,10,6,3
16,15,12,8,4
16,15,12,8,9,5
16,15,12,13,10,6
16,15,12,8,7
16,15,12,8
16,15,12,8,9
16,15,12,13,10
16,15,12,11
16,15,12
16,15,12,13
16,15,14
16,15
16
